adult,id,original_language,overview,popularity,release_date,title,video,vote_average,vote_count,genres
False,1357633,ja,"Over a decade after 'gates' connecting worlds appeared, awakening 'hunters' with superpowers, weakest hunter Sung Jinwoo encounters a double dungeon and accepts a mysterious quest, becoming the only one able to level up, changing his fate. A catch-up recap of the first season coupled with an exclusive sneak peek of the first two episodes of the highly anticipated second season in one momentous theatrical fan experience.",622.43,2024-11-26,Solo Leveling -ReAwakening-,False,6.977,87,"['Action', 'Adventure', 'Fantasy', 'Animation']"
False,1156593,es,The love between Noah and Nick seems unwavering despite their parents' attempts to separate them. But his job and her entry into college open up their lives to new relationships that will shake the foundations of both their relationship and the Leister family itself.,714.011,2024-12-26,Your Fault,False,7.2,944,"['Romance', 'Drama']"
False,1184918,en,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",683.475,2024-09-12,The Wild Robot,False,8.359,4124,"['Animation', 'Action', 'Science Fiction', 'Family']"
False,1075789,en,"In 1815, an American Legend, whose wife has fallen deathly ill, leaving his young children to survive on their own, must fight his way back to them across the many perils found in the Savage Lands of the wild frontier.",540.954,2024-03-08,The Ballad of Davy Crockett,False,4.0,8,['Action']
False,1043905,en,"During the United States' 2021 withdrawal from Afghanistan, a group of female soldiers posing as medical relief are sent back in to rescue a group of kidnapped teenagers caught between ISIS and the Taliban.",552.592,2024-12-11,Dirty Angels,False,6.289,168,"['Action', 'Drama', 'Thriller', 'War']"
False,1235623,zh,"The blind swordsman, skilled in martial arts, named Cheng Xiazi (Xie Miao), accidentally saves Zhang Xiaoyu (Yang Enyou), who has suffered from the destruction of his family. Under the persuasion of the orphan Xiaoyu, Cheng reluctantly keeps him by his side and teaches him skills. Xiaoyu also waits for the opportunity to seek revenge.",513.697,2024-07-21,Eye for an Eye 2,False,7.176,17,"['Action', 'Drama']"
False,533535,en,"A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.",532.349,2024-07-24,Deadpool & Wolverine,False,7.632,6522,"['Action', 'Comedy', 'Science Fiction']"
False,1278099,es,"A former idealistic leader turned corrupt politician is cursed by his grandmother on the eve of the presidential election, forcing him to be honest. Can he win without lies and what will be the conditions?",500.81,2024-08-08,El Candidato Honesto,False,6.889,81,['Comedy']
False,974453,en,"An aging ex-boxer gangster working as muscle for a Boston crime boss receives an upsetting diagnosis.  Despite a faltering memory, he attempts to rectify the sins of his past and reconnect with his estranged children. He is determined to leave a positive legacy for his grandson, but the criminal underworld isn’t done with him and won’t loosen their grip willingly.",519.033,2024-10-31,Absolution,False,5.8,283,"['Action', 'Crime', 'Thriller']"
False,1005331,en,An airport security officer races to outsmart a mysterious traveler forcing him to let a dangerous item slip onto a Christmas Eve flight.,482.272,2024-12-05,Carry-On,False,6.925,1782,"['Thriller', 'Action']"
False,1064213,en,"A young sex worker from Brooklyn gets her chance at a Cinderella story when she meets and impulsively marries the son of an oligarch. Once the news reaches Russia, her fairytale is threatened as his parents set out to get the marriage annulled.",569.579,2024-10-14,Anora,False,7.0,851,"['Romance', 'Comedy', 'Drama']"
False,519182,en,"Gru and Lucy and their girls—Margo, Edith and Agnes—welcome a new member to the Gru family, Gru Jr., who is intent on tormenting his dad. Gru also faces a new nemesis in Maxime Le Mal and his femme fatale girlfriend Valentina, forcing the family to go on the run.",468.182,2024-06-20,Despicable Me 4,False,7.067,2472,"['Animation', 'Family', 'Comedy', 'Science Fiction']"
False,1252309,es,"After his father's death, Eric Zimmerman travels to Spain to oversee his company's branches. In Madrid, he falls for Judith and engage in an intense, erotic relationship full of exploration. However, Eric fears his secret may end their affair.",457.057,2024-11-29,Ask Me What You Want,False,6.385,52,"['Romance', 'Drama']"
False,1100782,en,"About to embark on a new world tour, global pop sensation Skye Riley begins experiencing increasingly terrifying and inexplicable events. Overwhelmed by the escalating horrors and the pressures of fame, Skye is forced to face her dark past to regain control of her life before it spirals out of control.",405.984,2024-10-16,Smile 2,False,6.568,1228,"['Horror', 'Mystery']"
False,1147416,fr,"To save the future from a terrible fate, Marinette becomes Chronobug and teams up with Bunnyx to defeat a mysterious opponent who travels through time. Who is this new supervillain, and why are they obsessed with exposing Marinette's secret superhero identity? Marinette's only hope is to defeat her new opponent to prevent the end of Ladybug and time itself!",414.152,2024-11-14,"Miraculous World, London: At the Edge of Time",False,7.763,135,"['Animation', 'Adventure', 'Action', 'Fantasy']"
False,1118031,es,"When a kind of rabies that transforms people into aggressive creatures spreads across the planet, Manel isolates himself at home with his cat, relying on his wits to survive; but soon they must go out in search of food, by land and by sea, dodging many dangers.",405.915,2024-10-04,Apocalypse Z: The Beginning of the End,False,6.837,877,"['Drama', 'Action', 'Horror']"
False,1397347,en,"Undisputed WWE Champion Cody Rhodes will go head-to-head with Kevin Owens as Saturday Night's Main Event returns to NBC. Plus World Tag Team Champion Finn Bálor will face ""The Ring General"" Gunther for the World Heavyweight Title. The Women's World Championship will be on the line when Liv Morgan defends her title against IYO SKY.",376.312,2024-12-14,Saturday Night's Main Event XXXVII,False,6.962,13,['Action']
False,728949,en,"A woman, thrown into the stay-at-home routine of raising a toddler in the suburbs, slowly embraces the feral power deeply rooted in motherhood, as she becomes increasingly aware of the bizarre and undeniable signs that she may be turning into a dog.",481.393,2024-12-06,Nightbitch,False,6.1,133,"['Comedy', 'Horror']"
False,1022789,en,"Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone.",431.261,2024-06-11,Inside Out 2,False,7.6,5422,"['Animation', 'Adventure', 'Comedy', 'Family']"
False,1029235,en,"In a world where no one speaks, a devout female hunts down a young woman who has escaped her imprisonment. Recaptured by its ruthless leaders, Azrael is due to be sacrificed to pacify an ancient evil deep within the surrounding wilderness.",342.068,2024-09-27,Azrael,False,6.0,189,"['Action', 'Horror', 'Thriller']"
False,945961,en,"While scavenging the deep ends of a derelict space station, a group of young space colonizers come face to face with the most terrifying life form in the universe.",433.585,2024-08-13,Alien: Romulus,False,7.2,3148,"['Horror', 'Science Fiction']"
False,1276945,nl,"After losing his drug empire, Ferry Bouman has found a measure of peace away from Brabant's criminal underworld — until his past catches up to him.",367.281,2024-12-19,Ferry 2,False,5.8,94,"['Crime', 'Thriller', 'Action']"
False,1276210,es,"Laura has recently started working in the Barcelona subway. She has been assigned the old and quiet Rocafort station, but it won't be long before she discovers that this stop harbors a legend that will begin to haunt her: many people have died there in strange circumstances over the years and no one seems to be interested in knowing the truth.",320.273,2024-08-30,Last Stop: Rocafort St.,False,5.4,31,"['Horror', 'Mystery']"
False,929204,en,"Gromit’s concern that Wallace is becoming too dependent on his inventions proves justified, when Wallace invents a “smart” gnome that seems to develop a mind of its own. When it emerges that a vengeful figure from the past might be masterminding things, it falls to Gromit to battle sinister forces and save his master… or Wallace may never be able to invent again!",296.223,2024-12-18,Wallace & Gromit: Vengeance Most Fowl,False,7.7,295,"['Animation', 'Comedy', 'Family', 'Adventure']"
False,1034541,en,"Five years after surviving Art the Clown's Halloween massacre, Sienna and Jonathan are still struggling to rebuild their shattered lives. As the holiday season approaches, they try to embrace the Christmas spirit and leave the horrors of the past behind. But just when they think they're safe, Art returns, determined to turn their holiday cheer into a new nightmare. The festive season quickly unravels as Art unleashes his twisted brand of terror, proving that no holiday is safe.",313.752,2024-10-09,Terrifier 3,False,6.9,1417,"['Horror', 'Thriller']"
False,974950,fr,"Rita, an underrated lawyer working for a large law firm more interested in getting criminals out of jail than bringing them to justice, is hired by the leader of a criminal organization.",398.385,2024-08-21,Emilia Pérez,False,7.5,988,"['Drama', 'Thriller']"
False,1408248,xx,"Come share a toast in the Front Man's lair — but tread carefully, for you’re playing with fire.",304.37,2024-12-12,Squid Game: Fireplace,False,6.0,30,[]
False,698687,en,"The untold origin story of Optimus Prime and Megatron, better known as sworn enemies, but once were friends bonded like brothers who changed the fate of Cybertron forever.",287.04,2024-08-14,Transformers One,False,8.1,1044,"['Animation', 'Science Fiction', 'Adventure', 'Family']"
False,1241752,tl,"Rita, who finds herself alone when husband Ariel works abroad. They both find solace and sexual satisfaction in other people. When Ariel comes back, they both act like nothing happened. But will this keep their marriage from falling apart?",291.48,2024-03-22,Rita,False,6.2,8,['Drama']
False,1182387,en,"Armored truck security guard James Brody is working with his son Casey transporting millions of dollars between banks when a team of thieves led by Rook orchestrate a takeover of their truck to seize the riches. Following a violent car chase, Rook soon has the armored truck surrounded and James and Casey find themselves cornered onto a decrepit bridge.",277.582,2024-10-30,Armor,False,5.452,146,"['Action', 'Crime', 'Thriller']"
False,1051896,en,"In the near future, on a decimated Earth, Paul and his twin sons face terror at night when ferocious creatures awaken. When Paul is nearly killed, the boys come up with a plan for survival, using everything their father taught them to keep him alive.",268.491,2024-04-12,Arcadian,False,6.1,574,"['Action', 'Horror', 'Thriller', 'Science Fiction']"
False,978796,en,"For centuries and across cultures, parents have warned their children of the legendary Bagman, who snatches innocent children and stuffs them into his vile, rotting bag—never to be seen again. Patrick McKee narrowly escaped such an encounter as a boy, which left him with lasting scars throughout his adulthood. Now, Patrick’s childhood tormentor has returned, threatening the safety of his wife Karina and son Jake.",260.006,2024-09-20,Bagman,False,6.214,185,"['Horror', 'Thriller']"
False,573435,en,"After their late former Captain is framed, Lowrey and Burnett try to clear his name, only to end up on the run themselves.",279.259,2024-06-05,Bad Boys: Ride or Die,False,7.4,2673,"['Action', 'Comedy', 'Crime', 'Thriller', 'Adventure']"
False,1000075,fr,"Largo Winch, devastated by the kidnapping of his son, realizes that if he finds those responsible for his bankruptcy, maybe he'll see his son again.",283.258,2024-07-31,The Price of Money: A Largo Winch Adventure,False,6.5,136,"['Action', 'Adventure', 'Thriller']"
False,507241,en,"When top hitman Joe Flood is diagnosed with a terminal illness, he decides to take matters into his own hands – by taking a hit out on himself. But when the very hitmen he hired also target his ex-girlfriend, he must fend off an army of assassin colleagues and win back the love of his life before it's too late.",321.63,2024-09-12,The Killer's Game,False,6.5,257,"['Action', 'Comedy', 'Crime']"
False,1208491,fr,"At the heart of an imaginary world populated by fantastical creatures and dangerous monsters, the 13 year-old Zak goes in search of his twin brother Kyle, who has disappeared mysteriously. Equipped with a magical jade stone whose superpowers he doesn't yet know how to control, he is joined by his grandmother NaïNaï and Indiana, a beautiful outlaw who can communicate with the world's fantastical creatures. But he is also flanked by Wowo, formerly a 3 meter-tall furry pachyderm, now turned into a tiny, cute and wacky furball by the magical jade stone.",237.495,2024-04-25,Zak & Wowo: The Legend of Lendarys,False,6.75,4,"['Animation', 'Adventure', 'Fantasy']"
False,974576,en,"After the unexpected death of the Pope, Cardinal Lawrence is tasked with managing the covert and ancient ritual of electing a new one. Sequestered in the Vatican with the Catholic Church’s most powerful leaders until the process is complete, Lawrence finds himself at the center of a conspiracy that could lead to its downfall.",268.913,2024-10-25,Conclave,False,7.0,1001,['Drama']
False,1100856,ru,"Mara, an ancient pagan spirit, hunts a group of teenagers taking their body parts to be reborn. A disillusioned and desperate investigator has to face his deepest fears to save the teenagers.",221.329,2024-06-13,Whisper of the Witch,False,6.2,26,"['Horror', 'Thriller']"
False,823464,en,"Following their explosive showdown, Godzilla and Kong must reunite against a colossal undiscovered threat hidden within our world, challenging their very existence – and our own.",270.262,2024-03-27,Godzilla x Kong: The New Empire,False,7.1,4011,"['Action', 'Adventure', 'Science Fiction']"
False,1101448,en,"Unstoppable is the inspiring true story of Anthony Robles who was born with one leg but whose unbreakable resolve empowered him to defy the odds and pursue his dreams. With the unwavering love and support of his devoted mother and the encouragement of his coaches, Anthony fights through adversity to earn a spot on the Arizona State Wrestling team on his quest to become an NCAA Champion.",298.425,2024-12-06,Unstoppable,False,4.0,100,"['Drama', 'History']"
False,1013850,en,Mismatched cousins David and Benji reunite for a tour through Poland to honor their beloved grandmother. The adventure takes a turn when the pair's old tensions resurface against the backdrop of their family history.,290.593,2024-11-01,A Real Pain,False,6.9,299,"['Comedy', 'Drama']"
False,1196470,fr,A couple celebrates their son’s birthday in the middle of the ocean on their boat. A violent storm hits and it brings up hungry creatures from the depths and they fight for their survival.,248.527,2024-06-19,Survive,False,5.809,118,"['Science Fiction', 'Thriller', 'Adventure', 'Action']"
False,1167271,en,"A former DEA agent and a former undercover operative revisit their romance during a fateful weekend in Taipei, unaware of the dangerous consequences of their past.",234.579,2024-09-19,Weekend in Taipei,False,6.147,129,"['Action', 'Adventure', 'Thriller']"
False,395817,en,"An innocent young man, Jack, goes on an epic quest to rescue his sister Lula after she has been kidnapped by the violent killer Cut Throat Bill and her gang. To save her, Jack enlists the help of a crafty bounty hunter named Reginald Jones, a grave-digging alcoholic son of an ex-slave, and a street-smart prostitute. The gang tracks Cut Throat Bill into the deadly no-man’s land known as The Big Thicket — a place where blood and chaos reign.",209.157,2024-09-05,The Thicket,False,6.2,54,"['Crime', 'Thriller', 'Western']"
False,1299652,en,"Suspicious of the events ensnaring their former colleagues, Nite Owl and Silk Spectre are spurred out of retirement to investigate. As they grapple with personal ethics, inner demons and a society turned against them, they race the clock to uncover a deepening plot that might trigger global nuclear war.",212.983,2024-11-25,Watchmen: Chapter II,False,7.4,83,"['Animation', 'Mystery', 'Science Fiction', 'Action']"
False,1011985,en,"Po is gearing up to become the spiritual leader of his Valley of Peace, but also needs someone to take his place as Dragon Warrior. As such, he will train a new kung fu practitioner for the spot and will encounter a villain called the Chameleon who conjures villains from the past.",205.651,2024-03-02,Kung Fu Panda 4,False,7.1,2916,"['Animation', 'Family', 'Fantasy', 'Action']"
False,1097549,en,A high-powered CEO puts her career and family on the line when she begins a torrid affair with her much younger intern.,256.803,2024-12-25,Babygirl,False,5.8,156,"['Thriller', 'Drama']"
False,1164355,id,"Arum and Pica, who wanted to complete their internship at Lembayung hospital, had to face mysterious terror from a woman satan who was suspected of hanged herself in the bathroom. The situation became even more tense after they asked others for help to the point where they threatened their own lives and those closest to them.",237.546,2024-09-19,Lembayung,False,7.8,6,"['Horror', 'Thriller']"
False,1100099,en,"An up-and-coming chef and a recent divorcée find their lives forever changed when a chance encounter brings them together, in a decade-spanning, deeply moving romance.",212.535,2024-10-10,We Live in Time,False,7.464,547,"['Romance', 'Drama']"
False,1267217,ru,"Love comes without asking. Often not to those, not so and not then. Can a genuine feeling survive when everything started wrong and the whole world is against it? Give up everything or give up? Burn or survive?",212.657,2024-04-25,Sugar Baby,False,6.6,7,"['Romance', 'Drama']"
False,791042,en,"After witnessing his girlfriend's murder, a man risks everything - including reality itself - to discover the truth.",220.952,2024-11-01,Levels,False,5.5,49,"['Action', 'Science Fiction', 'Thriller']"
False,1155095,en,Claire is approached by the father of her murdered childhood friend to help investigate the haunted moor he believes is his son's final resting place.,189.744,2024-06-14,The Moor,False,5.3,32,"['Horror', 'Mystery', 'Drama']"
False,957452,en,"Soulmates Eric and Shelly are brutally murdered when the demons of her dark past catch up with them. Given the chance to save his true love by sacrificing himself, Eric sets out to seek merciless revenge on their killers, traversing the worlds of the living and the dead to put the wrong things right.",204.953,2024-08-21,The Crow,False,5.9,916,"['Action', 'Fantasy', 'Horror']"
False,1171640,fr,"When a notorious gang of bikers recruits her brother for a heist, a former motocross champion must face her deepest fears to keep her family safe.",180.956,2024-11-19,GTMAX,False,6.022,112,"['Action', 'Crime', 'Drama']"
False,1357459,tl,"Story about a happily married couple visited by an old friend, who ends up stirring the pot by becoming sexually involved with both the husband and the wife.",234.817,2024-10-11,Tatsulok: Tatlo Magkasalo,False,6.2,4,"['Drama', 'Romance']"
False,693134,en,"Follow the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a path of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the known universe, Paul endeavors to prevent a terrible future only he can foresee.",238.417,2024-02-27,Dune: Part Two,False,8.151,6124,"['Science Fiction', 'Adventure']"
False,592983,en,"When a powerful spell turns her parents into giant monsters, a teenage princess must journey into the wild to reverse the curse before it's too late.",171.988,2024-11-22,Spellbound,False,6.758,211,"['Animation', 'Fantasy', 'Family', 'Adventure', 'Comedy']"
False,748783,en,"Garfield, the world-famous, Monday-hating, lasagna-loving indoor cat, is about to have a wild outdoor adventure! After an unexpected reunion with his long-lost father – scruffy street cat Vic – Garfield and his canine friend Odie are forced from their perfectly pampered life into joining Vic in a hilarious, high-stakes heist.",181.148,2024-04-30,The Garfield Movie,False,7.12,1181,"['Animation', 'Comedy', 'Family', 'Adventure', 'Action']"
False,840705,en,"When tech billionaire Slater King meets cocktail waitress Frida at his fundraising gala, he invites her to join him and his friends on a dream vacation on his private island. But despite the epic setting, beautiful people, ever-flowing champagne, and late-night dance parties, Frida can sense that there’s something sinister hiding beneath the island’s lush façade.",180.658,2024-08-21,Blink Twice,False,6.7,1107,"['Mystery', 'Thriller']"
False,653346,en,"Several generations following Caesar's reign, apes – now the dominant species – live harmoniously while humans have been reduced to living in the shadows. As a new tyrannical ape leader builds his empire, one young ape undertakes a harrowing journey that will cause him to question all he's known about the past and to make choices that will define a future for apes and humans alike.",215.625,2024-05-08,Kingdom of the Planet of the Apes,False,7.098,3499,"['Science Fiction', 'Adventure', 'Action']"
False,1084736,fr,"Edmond Dantes becomes the target of a sinister plot and is arrested on his wedding day for a crime he did not commit. After 14 years in the island prison of Château d’If, he manages a daring escape. Now rich beyond his dreams, he assumes the identity of the Count of Monte-Cristo and exacts his revenge on the three men who betrayed him.",225.109,2024-06-28,The Count of Monte Cristo,False,8.1,1317,"['Action', 'Adventure', 'Drama']"
False,995803,en,"In 2045 convicted criminals are given the opportunity to compete on the world's #1 televised sporting event, Arena Wars. They must survive 7 rooms and 7 of the most vicious killers in the country. If they win, they regain their freedom.",201.5,2024-06-25,Arena Wars,False,5.131,42,"['Action', 'Science Fiction', 'Thriller', 'Comedy', 'Horror']"
False,1059128,en,"1950. William Lee, an American expat in Mexico City, spends his days almost entirely alone, except for a few contacts with other members of the small American community. His encounter with Eugene Allerton, an expat former soldier, new to the city, shows him, for the first time, that it might be finally possible to establish an intimate connection with somebody.",184.178,2024-11-27,Queer,False,7.23,137,"['Drama', 'Romance']"
False,549509,en,"Escaping post-war Europe, visionary architect László Tóth arrives in America to rebuild his life, his work, and his marriage to his wife Erzsébet after being forced apart during wartime by shifting borders and regimes. On his own in a strange new country, László settles in Pennsylvania, where the wealthy and prominent industrialist Harrison Lee Van Buren recognizes his talent for building. But power and legacy come at a heavy cost.",216.548,2024-12-20,The Brutalist,False,4.9,85,['Drama']
False,1084863,fr,"When the disappearance of children and bloody murders multiply in a small mountain village, an old legend shrouded in sulphur reappears... Commander Guardiano and Captain of the Gendarmerie De Rolan are forced to join forces to uncover the truth.",171.797,2024-04-24,The Soul Eater,False,6.1,120,"['Thriller', 'Horror', 'Crime', 'Mystery']"
False,762441,en,"As New York City is invaded by alien creatures who hunt by sound, a woman named Sam fights to survive with her cat.",164.729,2024-06-26,A Quiet Place: Day One,False,6.8,2451,"['Horror', 'Science Fiction', 'Thriller']"
False,1371727,en,"Buster Moon dreams up a star-studded spectacle set to Michael Jackson's ""Thriller"" in this animated short featuring characters from the hit ""Sing"" films.",182.754,2024-10-15,Sing: Thriller,False,7.2,147,"['Animation', 'Family', 'Comedy', 'Music']"
False,1216191,en,"After the brutal murder of her twin sister, Darcy goes after those responsible by using haunted items as her tools for revenge.",156.312,2024-07-19,Oddity,False,6.7,349,"['Horror', 'Mystery']"
False,1088514,es,"Ingrid and Martha were close friends in their youth, when they worked together at the same magazine. Ingrid went on to become an autofiction novelist while Martha became a war reporter, and they were separated by the circumstances of life. After years of being out of touch, they meet again in an extreme but strangely sweet situation.",207.582,2024-10-07,The Room Next Door,False,7.0,296,['Drama']
False,866398,en,One man's campaign for vengeance takes on national stakes after he is revealed to be a former operative of a powerful and clandestine organization known as Beekeepers.,198.745,2024-01-08,The Beekeeper,False,7.3,3307,"['Crime', 'Action', 'Thriller']"
False,1016848,en,"Everything goes to hell for newly-pregnant Belinda after her mother-in-law moves in. As the diabolical guest tries to get her claws on the child, Belinda must draw the line somewhere.",163.989,2024-09-05,The Front Room,False,5.2,70,['Horror']
False,726139,ko,"Due to sudden deteriorating weather conditions, visibility on the Airport Bridge is severely impaired, leaving people stranded and at risk of the bridge collapsing due to a series of chain collisions and explosions. Amidst the chaos, the canine subjects ""Echo"" from the military experiment ""Project Silence,"" who were being transported in secret, break free, and all human survivors become targets of relentless attacks.",169.241,2024-07-11,Project Silence,False,7.0,305,"['Thriller', 'Action', 'Horror', 'Science Fiction']"
False,639720,en,"After discovering she can see everyone's imaginary friends, a girl embarks on a magical adventure to reconnect forgotten imaginary friends with their kids.",155.451,2024-05-08,IF,False,7.1,1223,"['Comedy', 'Fantasy', 'Family']"
False,786892,en,"As the world falls, young Furiosa is snatched from the Green Place of Many Mothers into the hands of a great biker horde led by the warlord Dementus. Sweeping through the wasteland, they encounter the citadel presided over by Immortan Joe. The two tyrants wage war for dominance, and Furiosa must survive many trials as she puts together the means to find her way home.",167.068,2024-05-22,Furiosa: A Mad Max Saga,False,7.506,3810,"['Action', 'Science Fiction', 'Adventure']"
False,1147710,ko,"Pilots Tae-in and Gyu-sik are set to fly to Gimpo. Under the guidance of flight attendant Ok-soon, passengers are busy boarding. However, shortly after takeoff, a homemade bomb explodes, turning the cabin into chaos.",169.126,2024-06-21,Hijack 1971,False,6.5,87,"['Action', 'Thriller', 'Crime']"
False,1125510,es,"After a mysterious leader imposes his law in a brutal system of vertical cells, a new arrival battles against a dubious food distribution method.",185.254,2024-09-27,The Platform 2,False,5.6,1058,"['Science Fiction', 'Horror', 'Thriller']"
False,1354627,en,"While at Kamp Koral for a reunion, SpongeBob and the gang are stalked by a mysterious figure lurking in the shadows as campers start disappearing one by one!",141.554,2024-10-10,SpongeBob Squarepants: Kreepaway Kamp,False,7.0,71,"['TV Movie', 'Family', 'Comedy', 'Horror', 'Animation']"
